NAME	TITLE	SCORE	
GZMA	Gzma	0.4611184	
CCR5	Ccr5	0.447167	
CCR2	Ccr2	0.40328532	
JAK1	Jak1	0.39267284	
SH2D1A	Sh2d1a	0.36161643	
NA	Trbc1	0.35972977	
DAP	Dap	0.34761462	
ST3GAL6	St3gal6	0.3422555	
ITM2A	Itm2a	0.3385617	
CCL5	Ccl5	0.33059543	
MEF2A	Mef2a	0.3267231	
XCL1	Xcl1	0.32624733	
TXNDC5	Txndc5	0.32309088	
KLRD1	Klrd1	0.3197377	
CCL4	Ccl4	0.31310815	
LRRK1	Lrrk1	0.29995024	
CALM3	Calm2	0.29841316	
CDK2AP1	Cdk2ap1	0.29382426	
KLRK1	Klrk1	0.291772	
ACTG1	Actg1	0.28941193	
ZNF512	Zfp512	0.28895426	
ARL6IP1	Arl6ip1	0.28393742	
GZMK	Gzmk	0.27304286	
TMSB4Y	Tmsb4x	0.26439407	
MYL6	Myl6	0.25591806	
TBX21	Tbx21	0.2525369	
TSPAN32	Tspan32	0.2509515	
FYN	Fyn	0.24973702	
HCST	Hcst	0.2492083	
SLAMF6	Slamf6	0.2457504	
CXCR6	Cxcr6	0.24224967	
KLRC1	Klrc1	0.23775311	
SAMD3	Samd3	0.22658624	
GNAS	Gnas	0.22650865	
DAPK2	Dapk2	0.22606473	
TM6SF1	Tm6sf1	0.22410004	
PFN1	Pfn1	0.22382154	
FASLG	Fasl	0.22202747	
UBASH3B	Ubash3b	0.2188363	
STARD10	Stard10	0.21816896	
PIK3AP1	Pik3ap1	0.2164746	
GEM	Gem	0.21617696	
PTPRCAP	Ptprcap	0.21544951	
SUB1	Sub1	0.21541706	
PLEK	Plek	0.21069469	
ACTB	Actb	0.20993039	
TRAC	Trac	0.20859833	
PDCD4	Pdcd4	0.20790711	
CD6	Cd6	0.20340072	
CD2	Cd2	0.20149106	
ID3	Id3	0.1975647	
ARHGDIB	Arhgdib	0.19685015	
KLRG1	Klrg1	0.19422948	
CHSY1	Chsy1	0.1928045	
CD160	Cd160	0.19266732	
IKZF3	Ikzf3	0.19227877	
SLAMF7	Slamf7	0.1892619	
SYTL2	Sytl2	0.18665567	
ELOVL6	Elovl6	0.18520898	
GIMAP6	Gimap6	0.18498386	
SH2D2A	Sh2d2a	0.183833	
DUSP2	Dusp2	0.18367319	
NKG7	Nkg7	0.1805972	
GIMAP4	Gimap4	0.1799121	
ITM2B	Itm2b	0.17927317	
TTC39C	Ttc39c	0.17843911	
ZYX	Zyx	0.17792845	
TXK	Txk	0.17705712	
S100A10	S100a10	0.17604086	
EOMES	Eomes	0.1754873	
ENTPD1	Entpd1	0.1749971	
G0S2	G0s2	0.17458978	
PGLYRP1	Pglyrp1	0.17371474	
LRRC28	Lrrc28	0.17332186	
NDRG1	Ndrg1	0.17329852	
SEPT7	Sept7	0.1721672	
TNFAIP8	Tnfaip8	0.17194341	
IGHM	Ighm	0.17088628	
SRGN	Srgn	0.16945282	
CD5	Cd5	0.16893464	
PEAK1	Peak1	0.16795374	
COTL1	Cotl1	0.16715138	
LTB	Ltb	0.16702528	
MPP1	Mpp1	0.16266353	
SMAP1	Smap1	0.16214347	
OSBPL3	Osbpl3	0.16154623	
GMFG	Gmfg	0.1608171	
SCIMP	Scimp	0.15873142	
CD27	Cd27	0.15813674	
IZUMO1R	Izumo1r	0.15727676	
C1orf21	1700025G04Rik	0.1559208	
ZEB2	Zeb2	0.15531144	
CST7	Cst7	0.15437819	
TSPO	Tspo	0.15436529	
ITGB1	Itgb1	0.15416834	
ARL4D	Arl4d	0.15218736	
IKZF2	Ikzf2	0.15104978	
RPL13A	Rpl13a	0.15056667	
GSAP	Gsap	0.15054731	
ARAP2	Arap2	0.14956453	
ARPC5	Arpc5	0.14930603	
SNX5	Snx5	0.14889781	
PRF1	Prf1	0.14850397	
PTPRC	Ptprc	0.14688009	
LIMD2	Limd2	0.14590162	
GDPD3	Gdpd3	0.1458411	
SLA	Sla	0.14276832	
H1F0	H1f0	0.14239287	
YPEL3	Ypel3	0.14217746	
H3F3A	H3f3b	0.14213793	
CD38	Cd38	0.14184882	
UGCG	Ugcg	0.14041911	
CYB5D1	Cyb5d1	0.14035508	
CNOT6L	Cnot6l	0.13864383	
LMO1	Lmo1	0.13863312	
RAC2	Rac2	0.1380002	
CD47	Cd47	0.13759205	
RPS12	Rps12	0.13742127	
TMEM37	Tmem37	0.13698244	
SH3BGRL3	Sh3bgrl3	0.1354658	
MALT1	Malt1	0.13534524	
PRKCH	Prkch	0.1352802	
MFSD10	Mfsd10	0.13491821	
PTP4A3	Ptp4a3	0.1332224	
EP300	Ep300	0.1331918	
ATP2B1	Atp2b1	0.1307535	
JAML	Jaml	0.12961785	
PTPN22	Ptpn22	0.12953337	
PTPN6	Ptpn6	0.12868139	
IFNGR1	Ifngr1	0.12809946	
GIMAP1-GIMAP5	Gimap3	0.12795387	
BCL2L11	Bcl2l11	0.12787051	
SELENOP	Selenop	0.12733367	
RNF43	Rnf43	0.12548248	
CNN2	Cnn2	0.1252954	
RAPH1	Raph1	0.12506884	
PYCARD	Pycard	0.12501107	
ZNF567	Zfp300	0.12469968	
UCP2	Ucp2	0.12401582	
RSRP1	Rsrp1	0.12207086	
LY96	Ly96	0.12186857	
NR3C1	Nr3c1	0.121363096	
TNFSF14	Tnfsf14	0.121200606	
CXCR3	Cxcr3	0.12085403	
ACOT2	Acot2	0.12039365	
S100A6	S100a6	0.1198865	
SLC16A2	Slc16a2	0.119769104	
LAPTM5	Laptm5	0.11929761	
GNG2	Gng2	0.11788184	
TGFB1	Tgfb1	0.11686088	
TEX9	Tex9	0.115507215	
ST8SIA4	St8sia4	0.11492205	
KLHL24	Klhl24	0.11433726	
FAM174B	Fam174b	0.11428809	
MFSD6	Mfsd6	0.11405561	
CHD3	Chd3	0.113940954	
ASAP1	Asap1	0.11320145	
MYO1F	Myo1f	0.11229002	
CDKN2C	Cdkn2c	0.1121221	
SMPDL3A	Smpdl3a	0.11163501	
CNRIP1	Cnrip1	0.11158449	
KLHDC8B	Klhdc8b	0.110998824	
SLC22A15	Slc22a15	0.11074004	
NSG2	Nsg2	0.11042115	
GPR18	Gpr18	0.10920783	
SMIM3	Smim3	0.10851517	
MXD4	Mxd4	0.10785845	
RGS1	Rgs1	0.107371785	
FAS	Fas	0.107348874	
STAP1	Stap1	0.106947236	
BBS2	Bbs2	0.10617666	
ITPKB	Itpkb	0.10462065	
CCL3	Ccl3	0.10407316	
COL6A3	Col6a3	0.103757955	
IRF8	Irf8	0.10313623	
STK17B	Stk17b	0.10281103	
SLC2A3	Slc2a3	0.10265653	
GDF11	Gdf11	0.10242156	
MBNL1	Mbnl1	0.10214912	
ARID4A	Arid4a	0.10205008	
KCNC1	Kcnc1	0.101060554	
TOP1	Top1	0.10100018	
NCALD	Ncald	0.10011201	
RASGEF1B	Rasgef1b	0.09987187	
ACTR3	Actr3	0.09968918	
TESPA1	Tespa1	0.09898801	
IQGAP2	Iqgap2	0.098955505	
PKP4	Pkp4	0.09863477	
PBXIP1	Pbxip1	0.098214455	
DGKH	Dgkh	0.09784103	
IFI44L	Ifi44l	0.09763201	
PHF11	Phf11b	0.09757615	
RAP2A	Rap2a	0.09736733	
TOR3A	Tor3a	0.09735982	
FBXL2	Fbxl2	0.096382745	
RILPL2	Rilpl2	0.09636867	
ABI2	Abi2	0.09623814	
CRIM1	Crim1	0.09606717	
ZMYM5	Zmym5	0.09587456	
ZNF8	Zfp128	0.09566757	
TMEM108	Tmem108	0.09525645	
TPM4	Tpm4	0.09462175	
QRFP	Qrfp	0.09455341	
LCP1	Lcp1	0.09450868	
TNIP3	Tnip3	0.094473206	
ACOT7	Acot7	0.09376615	
KBTBD11	Kbtbd11	0.09335766	
TNFRSF9	Tnfrsf9	0.09325164	
NEURL3	Neurl3	0.093005456	
RGS3	Rgs3	0.09296057	
CELA1	Cela1	0.091435686	
PBX3	Pbx3	0.09078065	
ZFHX2	Zfhx2	0.09070298	
